name,d_C,kcat_Km_observed,kcat_Km_predicted,log_observed,log_predicted,error
Superoxide dismutase,1,7000000000.0,1000000000,9.845098040014257,9,0.8450980400142569
Carbonic anhydrase,1,100000000.0,1000000000,8.0,9,1.0
Acetylcholinesterase,1,160000000.0,1000000000,8.204119982655925,9,0.795880017344075
Catalase,1,40000000.0,1000000000,7.6020599913279625,9,1.3979400086720375
Fumarase,2,160000000.0,100000000,8.204119982655925,8,0.20411998265592501
Triose-P isomerase,2,430000000.0,100000000,8.633468455579587,8,0.6334684555795871
Beta-Lactamase,2,100000000.0,100000000,8.0,8,0.0
Phosphotriesterase,3,40000000.0,10000000,7.6020599913279625,7,0.6020599913279625
Lysozyme,3,5000000.0,10000000,6.698970004336019,7,0.30102999566398125
Chymotrypsin,4,10000.0,1000000,4.0,6,2.0
Pepsin,4,30000.0,1000000,4.477121254719663,6,1.5228787452803374
Urease,5,40000.0,100000,4.6020599913279625,5,0.3979400086720375
